Group,Character,Label,Help,HelpShort,Status,ValueType,ControlType,Params,Weight,Latitude
Shortcuts,Unique,Features unique to one genus,A few genera are so distinctive that one of these choices defines them.,,key,text,multi,,10,
Body,BodySize,Length in mm,"Size is often unhelpful at the genus level because there may be a considerable range among species within the genus, and even among individuals within a species.
But several genera (and the metallic sub-groups of (Lasioglossum and Halictus) are invariably small (<8mm). And some genera have no small species. E.g., Bombus is typically larger than a honeybee.",,key,numeric,spin,"3,20,1",10,1
Body,BodyColor,Color of integument,Color of the integument - irrespective of hairs.,,key,text,multi,,10,
Body,BodyHair,Hairiness,Relative density of body hair. Check more than one option for borderline cases,,key,text,multi,,5,
Body,Ash,Among Megachilidae: unique features of Ashmeadiella.,"Photos: T1 anterior, mesepisternum, and apical teeth (male) of Ashmeadiella",,key,text,multi,,3,
Body,TergalBands,Bands of hair dorsally on the abdominal segments.,"When present, may be partial or complete",,key,text,multi,,3,
Wing,SMC,Number of submarginal cells,"On the forewing, there are either two or three cells below the topmost, marginal cell.",,key,text,multi,,10,
Wing,BasalVein,Basal vein arch,"An arched basal vein is a character of Halictid genera. There are species of other genera that may also appear arched, requiring additional characters to ID.",,key,text,multi,,3,
Wing,recurrentvein,2nd Recurrent vein shape,The vein below the distal submarginal cell.,,key,text,single,,3,
Wing,WIngCells,Hair in closed cellls,"Are there hairs in the closed cells (like submarginal cells)?
(Distinguishes Eucera from Anthophora)",,key,text,multi,,3,
Scopae,Sex,Sex,Most actively foraging bees are female,,key,text,single,,1,
Scopae,Scopae,Scopae: for females only,A character of many females - brushes of hair that accumulate pollen.,,key,text,multi,,10,
Taxonomy,Family,Family,,,display,,,,10,
Details,HairBandPos,Abdominal hair bands - apical or basal,This character differentiates Lasioglossum from Halictus,,key,text,multi,,3,
Details,Fovea,Is there a depressed area medial to the eye?,"The fovea is a good character when observable, but it is often difficult to see without optimal light and magnification.",,key,text,multi,,2,
Details,Claws,Arolia,Tarsal claws - medial pad (arolia),,key,text,multi,,2,
Details,AntLow,Position of antennae on face,Differentiates <i>Dufourea</> from other Halictidae,,key,text,multi,,2,
Details,Parap,Parapsidal line,"A feature of Megachilidae. Medial to the wing base, there is a punctate dot (<i>Osmia</i>)Êor a linear impression (others).",,key,text,multi,,2,
